robot_pos target_pos
|[0.056560314094225884, -2.4479129557540946, 1.897182295106971]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.06660222959156173, -2.488110155325567, 1.8720071178381343]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.07733064035232703, -2.5226024935126032, 1.8475947843631184]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.08867422693591567, -2.558071510337892, 1.8246495389599426]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.10071922786765562, -2.586108058178322, 1.8032580409593943]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.11335601780714577, -2.616164823613921, 1.7838659611402727]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.126658941317756, -2.6422836634141533, 1.7671485541405079]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.1405975220827635, -2.668961938512792, 1.7539928185852818]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.1551381031140202, -2.6937964729729074, 1.7403413218994046]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.17029470885672293, -2.7182070618815324, 1.72941400783565]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.1860720367339017, -2.742824755466863, 1.7217692108499514]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.20243939490512386, -2.7640545088644703, 1.7141532934405486]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.21941481559756343, -2.786793862506128, 1.7045680056758459]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.23696463804364348, -2.816895348955142, 1.6924058349135567]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.2551554002026661, -2.837892429656191, 1.6814471949120875]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.27398111365398137, -2.8558701325011335, 1.6734449820445518]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.293397274413359, -2.874687923952913, 1.666676257290828]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.3134058975573719, -2.8959614979056956, 1.6602775637195069]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.3340272169190349, -2.911715058579252, 1.6550316086019787]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.35525959566231036, -2.9266364884772957, 1.6476635146094616]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.3770984900219442, -2.942037696028793, 1.6391665003632323]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.39954380925973165, -2.95406908130429, 1.6294915191702921]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.4225906170551127, -2.9667975523643784, 1.622226712461379]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.4462319256669685, -2.97634583683002, 1.6128135673183235]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.47047241915117843, -2.9780848480877045, 1.6025836858709057]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.4953064037722313, -2.9807900810100363, 1.5930533369666464]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.5207397515356935, -2.9869932485292554, 1.5865014636933166]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.5467828735990962, -2.986173446486797, 1.5821660812165868]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.5722060320908393, -2.9832164398137557, 1.5763465412712743]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.596925368259709, -2.982097107038554, 1.5732650830213144]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.6209856933539387, -2.9761394061338518, 1.5721342072312539]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.6443786389938446, -2.9800080642464346, 1.5697204212118987]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.6671141632518958, -2.9761434335461208, 1.5674973534235048]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.6891926378935409, -2.9791934425112623, 1.5652071220925554]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
|[0.7106152049942761, -2.9742302443357294, 1.5626244198682273]| |[-1.364390687213966, -1.5288593538853217, 2.3902618390181334]|
